capacidad,precio,fecha,folio,cliente,estado,concepto
"50 HP","36000","2026-02-18","S00108","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 50 HP Desmontaje, identificación de f"
"50 HP","49500","2026-02-16","S00105","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 50 HP"
"50 HP","50000","2026-07-09","S00207","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 50HP Servicio de bobinado en estator "
"60 HP","50000","2026-03-14","S00163","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 60HP Servicio de bobinado en estator "
"60 HP","50000","2026-02-19","S00125","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 60HP Servicio de bobinado en estator "
"75 HP","2160","2026-01-30","S00059","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX207075Ser embobinado motor .75 HP cambiar EXT Servici"
"75 KW","3800","2026-03-04","S00132","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR .75KW Servicio de embobinado en estat"
"75 KW","23400","2026-01-27","S00033","Grupo Industrial Vértice del Sureste, S.A. de C.V.","sale","BOBINADO DE MOTOR .75KW Servicio de mantenimiento corre"
"75 HP","56500","2026-06-22","S00270","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 75HP Servicio de bobinado en estator "
"75 HP","60000","2026-04-25","S00213","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 75HP Servicio de bobinado en estator "
"75 HP","60000","2026-02-19","S00126","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 75HP Servicio de bobinado en estator "
"100 HP","70000","2026-04-18","S00201","Grupo Industrial Vértice del Sureste, S.A. de C.V.","draft","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","70000","2026-02-20","S00128","INGENIO PRESIDENTE BENITO JUAREZ","draft","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","78000","2026-08-04","S00202","INGENIO PRESIDENTE BENITO JUAREZ","sale","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","78000","2026-07-09","S00209","INGENIO PRESIDENTE BENITO JUAREZ","sale","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","78000","2026-07-03","S00290","INGENIO PRESIDENTE BENITO JUAREZ","sale","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","78000","2026-04-25","S00215","INGENIO PRESIDENTE BENITO JUAREZ","draft","REBOBINADO DE MOTOR 100HP Servicio de Rebobinado de Mot"
"100 HP","85456.5","2026-03-04","S00099","INGENIO PRESIDENTE BENITO JUAREZ","sale","EMBOBINADO DE MOTOR DE 100 HP Reparación de motor de 10"
"125 HP","95000","2026-07-08","S00297","INGENIO PRESIDENTE BENITO JUAREZ","draft","REBOBINADO DE MOTOR 125HP Servicio de Rebobinado de Mot"
"125 HP","95000","2026-07-07","S00212","INGENIO PRESIDENTE BENITO JUAREZ","sale","REBOBINADO DE MOTOR 125HP Servicio de Rebobinado de Mot"
"200 HP","98000","2026-06-23","S00272","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 200HP Servicio de bobinado en estator"
"200 KW","256000","2026-01-02","S00027","Grupo Industrial Vértice del Sureste, S.A. de C.V.","sale","REBOBINADO DE MOTOR 200KW Servicio de Rebobinado de Mot"
"300 KW","135000","2026-08-01","S00322","VIMIFOS","sale","EMBOBINADO DE MOTOR WEG 300KW Servicio de embobinado de"
"300 KW","135000","2026-07-28","S00295","VIMIFOS","sale","EMBOBINADO DE MOTOR WEG 300KW Servicio de embobinado de"
"?","0","2026-01-17","S00062","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","motor soplador del túnel de línea 5 para servicio de em"
"?","0","2026-01-06","S00041","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","REBOBINADO DE ELECTRO FRENO DE SERVO MOTOR Rebobinado d"
