id,ref,nombre,usd,costoAntes,costoDespues,precioAntes,precioDespues
"11232","038894980-0030","6002-2Z-L038-C3","3.0891300000000004","39.39","39.39","78.78","78.78"
"10932","059642831-0030","6002-C-2HRS-C3","3.6763199999999996","46.87","46.87","93.74","93.74"
"10933","095769366-0030","6002-C-2HRS-C3>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"10931","095769366-0000","6002-C-2HRS>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"13918","059371714-0000","6002-C-2Z","3.0891300000000004","39.39","39.39","78.78","78.78"
"13920","059371714-0030","6002-C-2Z-C3","3.0891300000000004","39.39","39.39","78.78","78.78"
"13921","095702652-0030","6002-C-2Z-C3>V","3.0891300000000004","39.39","39.39","78.78","78.78"
"13919","095702652-0000","6002-C-2Z>V","3.0891300000000004","39.39","39.39","78.78","78.78"
"13922","059812826-0030","6002-C-C3","3.3189","42.32","42.32","84.64","84.64"
"13923","095702644-0030","6002-C-C3>V","3.3189","42.32","42.32","84.64","84.64"
"13924","060840200-0030","6002-C-Z-C3","4.6209299999999995","58.92","58.92","117.84","117.84"
"13925","060840242-0000","6002-C-Z-TVH","4.237979999999999","54.03","54.03","108.06","108.06"
"7923","054558417-0030","6002-C3","3.3189","42.32","42.32","84.64","84.64"
"7924","054567831-0030","6002-RSR-C3","4.429455","56.48","56.48","112.96","112.96"
"13926","038376644-0030","6002-THB-P6-C3","10.543890000000001","134.43","134.43","268.86","268.86"
"13927","019090587-0030","6002-THB-XXX-C3","9.57375","122.07","122.07","244.14","244.14"
"7925","054567866-0000","6002-Z","4.6209299999999995","58.92","58.92","117.84","117.84"
"7926","054567866-0030","6002-Z-C3","4.6209299999999995","58.92","58.92","117.84","117.84"
"13928","054572207-0000","6002-Z-TBH","7.55688","96.35","96.35","192.7","192.7"
"7927","016717015-0000","6003","3.535905","45.08","45.08","90.16","90.16"
"7928","016717023-0000","6003-2RSR","3.80397","48.5","48.5","97","97"
"7929","016717023-0030","6003-2RSR-C3","3.80397","48.5","48.5","97","97"
"13929","038907151-0000","6003-2RSR-L038","3.80397","48.5","48.5","97","97"
"11233","038907151-0030","6003-2RSR-L038-C3","3.80397","48.5","48.5","97","97"
"7930","016717040-0000","6003-2Z","3.3316649999999997","42.48","42.48","84.96","84.96"
"7931","016717040-0030","6003-2Z-C3","3.3316649999999997","42.48","42.48","84.96","84.96"
"13930","038895030-0000","6003-2Z-L038","3.3316649999999997","42.48","42.48","84.96","84.96"
"11234","038895030-0030","6003-2Z-L038-C3","3.3316649999999997","42.48","42.48","84.96","84.96"
"13931","019090730-0000","6003-2Z-N","5.769779999999999","73.56","73.56","147.12","147.12"
"7932","016717015-0030","6003-C3","3.535905","45.08","45.08","90.16","90.16"
"7933","019090781-0000","6003-RSR","4.429455","56.48","56.48","112.96","112.96"
"7934","019090781-0030","6003-RSR-C3","4.429455","56.48","56.48","112.96","112.96"
"13932","019090803-0000","6003-THB","17.334870000000002","221.02","221.02","442.04","442.04"
"13933","019090803-0030","6003-THB-C3","17.334870000000002","221.02","221.02","442.04","442.04"
"7935","016717082-0000","6003-Z","4.659224999999999","59.41","59.41","118.82","118.82"
