sap,desc,familia,usd,costo,precio,marca
"016702832-0000","2207-TVH","Autoalineantes","26.104425","332.83","665.66","FAG"
"016702832-0030","2207-TVH-C3","Autoalineantes","26.104425","332.83","665.66","FAG"
"016702859-0000","2208-2RS-TVH","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"038472570-0030","2208-K-2RS-TVH-C3","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"038904268-0030","2208-K-TVH-C3","Autoalineantes","31.567845","402.49","804.98","FAG"
"016702883-0000","2208-TVH","Autoalineantes","31.567845","402.49","804.98","FAG"
"016702883-0030","2208-TVH-C3","Autoalineantes","31.567845","402.49","804.98","FAG"
"016702891-0000","2209-2RS-TVH","Autoalineantes","41.30754","526.67","1053.34","FAG"
"038472589-0030","2209-K-2RS-TVH-C3","Autoalineantes","41.30754","526.67","1053.34","FAG"
"038904284-0030","2209-K-TVH-C3","Autoalineantes","35.94624","458.31","916.63","FAG"
"016702921-0000","2209-TVH","Autoalineantes","35.94624","458.31","916.63","FAG"
"016702921-0030","2209-TVH-C3","Autoalineantes","35.94624","458.31","916.63","FAG"
"016702948-0000","2210-2RS-TVH","Autoalineantes","46.783725","596.49","1192.98","FAG"
"038904306-0030","2210-K-2RS-TVH-C3","Autoalineantes","46.783725","596.49","1192.98","FAG"
"038059088-0030","2210-K-TVH-C3","Autoalineantes","40.28634","513.65","1027.3","FAG"
"016702972-0000","2210-TVH","Autoalineantes","40.28634","513.65","1027.3","FAG"
"016702972-0030","2210-TVH-C3","Autoalineantes","40.28634","513.65","1027.3","FAG"
"016702980-0000","2211-2RS-TVH","Autoalineantes","57.36590999999999","731.42","1462.83","FAG"
"097406597-0000","2211-2RS-TVH>N","Autoalineantes","57.36590999999999","731.42","1462.83","FAG"
"038472597-0030","2211-K-2RS-TVH-C3","Autoalineantes","57.36590999999999","731.42","1462.83","FAG"
"038904365-0030","2211-K-TVH-C3","Autoalineantes","46.451835","592.26","1184.52","FAG"
"016703014-0000","2211-TVH","Autoalineantes","46.451835","592.26","1184.52","FAG"
"016703014-0030","2211-TVH-C3","Autoalineantes","46.451835","592.26","1184.52","FAG"
"097257702-0030","2211-TVH-C3>N","Autoalineantes","46.451835","592.26","1184.52","FAG"
"016703030-0000","2212-2RS-TVH","Autoalineantes","76.245345","972.13","1944.26","FAG"
"097406600-0000","2212-2RS-TVH>N","Autoalineantes","76.245345","972.13","1944.26","FAG"
"016703030-0030","2212-2RS-TVH-C3","Autoalineantes","76.245345","972.13","1944.26","FAG"
"097406600-0030","2212-2RS-TVH-C3>N","Autoalineantes","76.245345","972.13","1944.26","FAG"
"038904381-0030","2212-K-2RS-TVH-C3","Autoalineantes","76.245345","972.13","1944.26","FAG"
"038472600-0030","2212-K-TVH-C3","Autoalineantes","57.97863","739.23","1478.46","FAG"
"016703073-0000","2212-TVH","Autoalineantes","57.97863","739.23","1478.46","FAG"
"097260355-0000","2212-TVH>N","Autoalineantes","57.97863","739.23","1478.46","FAG"
"016703073-0030","2212-TVH-C3","Autoalineantes","57.97863","739.23","1478.46","FAG"
"097260355-0030","2212-TVH-C3>N","Autoalineantes","57.97863","739.23","1478.46","FAG"
"016703090-0000","2213-2RS-TVH","Autoalineantes","102.75825","1310.17","2620.34","FAG"
"097406813-0000","2213-2RS-TVH>N","Autoalineantes","102.75825","1310.17","2620.34","FAG"
"038904624-0030","2213-K-2RS-TVH-C3","Autoalineantes","102.75825","1310.17","2620.34","FAG"
"038904667-0030","2213-K-TVH-C3","Autoalineantes","70.25856","895.8","1791.59","FAG"
"016703120-0000","2213-TVH","Autoalineantes","70.25856","895.8","1791.59","FAG"
"097260312-0000","2213-TVH>N","Autoalineantes","70.25856","895.8","1791.59","FAG"
"016703120-0030","2213-TVH-C3","Autoalineantes","70.25856","895.8","1791.59","FAG"
"097260312-0030","2213-TVH-C3>N","Autoalineantes","70.25856","895.8","1791.59","FAG"
"016703138-0000","2214-2RS-TVH","Autoalineantes","121.382385","1547.63","3095.25","FAG"
"019006039-0000","2214-M","Autoalineantes","86.967945","1108.84","2217.68","FAG"
"019006039-0030","2214-M-C3","Autoalineantes","86.967945","1108.84","2217.68","FAG"
"038438020-0030","2215-K-TVH-C3","Autoalineantes","101.66046","1296.17","2592.34","FAG"
"016703154-0000","2215-TVH","Autoalineantes","101.66046","1296.17","2592.34","FAG"
"016703154-0030","2215-TVH-C3","Autoalineantes","101.66046","1296.17","2592.34","FAG"
"038438038-0000","2216-K-TVH","Autoalineantes","119.12297999999998","1518.82","3037.64","FAG"
"038438038-0030","2216-K-TVH-C3","Autoalineantes","119.12297999999998","1518.82","3037.64","FAG"
"016703170-0000","2216-TVH","Autoalineantes","119.12297999999998","1518.82","3037.64","FAG"
"016703170-0030","2216-TVH-C3","Autoalineantes","119.12297999999998","1518.82","3037.64","FAG"
"097259950-0030","2216-TVH-C3>N","Autoalineantes","119.12297999999998","1518.82","3037.64","FAG"
"038438046-0030","2217-K-M-C3","Autoalineantes","151.11207","1926.68","3853.36","FAG"
"019006047-0000","2217-M","Autoalineantes","151.11207","1926.68","3853.36","FAG"
"019006047-0030","2217-M-C3","Autoalineantes","151.11207","1926.68","3853.36","FAG"
"038438054-0030","2218-K-TVH-C3","Autoalineantes","171.02547","2180.57","4361.15","FAG"
"016703219-0000","2218-TVH","Autoalineantes","171.02547","2180.57","4361.15","FAG"
"016703219-0030","2218-TVH-C3","Autoalineantes","171.02547","2180.57","4361.15","FAG"
"038906007-0030","2219-K-M-C3","Autoalineantes","330.23055","4210.44","8420.88","FAG"
