sap,desc,usd,precio_mxn,familia,marca
"038808951-0000","=-T-INJECT1600-SET","705.87897","17999.91","(otros)","SCHAEFFLER"
"019255993-0000","=-T-INJECT2500","709.236165","18085.52","(otros)","SCHAEFFLER"
"019256019-0000","=-T-INJECT2500.VALVE","132.02839500000002","3366.72","(otros)","SCHAEFFLER"
"038808668-0000","=-T-INJECT2500-SET","705.87897","17999.91","(otros)","SCHAEFFLER"
"005218349-0000","=-T-KGBZ20-PP","86.62828500000002","2209.02","(otros)","INA"
"005218365-0000","=-T-KGBZ32-PP","166.39344000000003","4243.03","(otros)","INA"
"005221706-0000","=-T-KNOZ10","18.776205","478.79","(otros)","INA"
"005218683-0000","=-T-KNZ32-PP","115.54933500000001","2946.51","(otros)","INA"
"006959563-0000","=-T-KR80-B","194.73007500000003","4965.62","(otros)","INA"
"005221587-0000","=-T-KTNOZ10-PP","99.39550500000001","2534.59","(otros)","INA"
"005221625-0000","=-T-KTNOZ24-PP","325.519155","8300.74","(otros)","INA"
"011645865-0000","=-T-KTX8-PP","82.65726000000001","2107.76","(otros)","INA"
"021943354-0000","=-T-LASER-INLINE.ACCESS-SET","4132.20921","105371.33","(otros)","SCHAEFFLER"
"021940525-0000","=-T-LASER-INLINE.BRACKET","1022.8083899999999","26081.61","(otros)","SCHAEFFLER"
"038828480-0000","=-T-LASER-INLINE.CABLE","415.590105","10597.55","(otros)","SCHAEFFLER"
"019210876-0000","=-T-LASER-INLINE.CASE","462.488715","11793.46","(otros)","SCHAEFFLER"
"021941971-0000","=-T-LASER-INLINE.CASE-ACCESSOIRES","132.130515","3369.33","(otros)","SCHAEFFLER"
"021940193-0000","=-T-LASER-INLINE.CHAIN1500","167.974635","4283.35","(otros)","SCHAEFFLER"
"038813793-0000","=-T-LASER-INLINE.CHAIN300","158.77106999999998","4048.66","(otros)","SCHAEFFLER"
"021940185-0000","=-T-LASER-INLINE.CHAIN600","164.92379999999997","4205.56","(otros)","SCHAEFFLER"
"021940533-0000","=-T-LASER-INLINE.MAGNET","1115.469525","28444.47","(otros)","SCHAEFFLER"
"019210841-0000","=-T-LASER-INLINE.PCCARD","740.4593550000001","18881.71","(otros)","SCHAEFFLER"
